crecimiento_poblacional,consumo_medio_anual,tasa_decrecimiento_reservas,precipitaciones_anuales,temperatura_promedio,año_escasez_agua
Bajo,Bajo consumo,Lento,Seco,Cálido,2082
Bajo,Consumo moderado,Rápido,Húmedo,Frío,2084
Medio,Bajo consumo,Rápido,Moderado,Frío,2051
Bajo,Alto consumo,Lento,Moderado,Templado,2092
Bajo,Bajo consumo,Lento,Moderado,Frío,2046
Alto,Consumo moderado,Lento,Seco,Frío,2048
Alto,Consumo moderado,Moderado,Seco,Cálido,2064
Bajo,Bajo consumo,Lento,Moderado,Cálido,2098
Bajo,Consumo moderado,Lento,Moderado,Templado,2090
Medio,Alto consumo,Rápido,Húmedo,Templado,2064
Medio,Alto consumo,Lento,Húmedo,Templado,2030
Bajo,Consumo moderado,Rápido,Húmedo,Cálido,2042
Alto,Alto consumo,Rápido,Húmedo,Frío,2054
Bajo,Alto consumo,Moderado,Húmedo,Cálido,2045
Bajo,Bajo consumo,Lento,Seco,Cálido,2086
Alto,Alto consumo,Lento,Húmedo,Frío,2034
Alto,Bajo consumo,Rápido,Húmedo,Frío,2037
Medio,Consumo moderado,Moderado,Moderado,Templado,2033
Medio,Bajo consumo,Moderado,Seco,Frío,2092
Medio,Consumo moderado,Lento,Húmedo,Frío,2063
Medio,Consumo moderado,Rápido,Húmedo,Frío,2048
Alto,Consumo moderado,Lento,Húmedo,Frío,2058
Bajo,Consumo moderado,Lento,Moderado,Templado,2085
Medio,Consumo moderado,Lento,Moderado,Templado,2065
Medio,Bajo consumo,Lento,Moderado,Frío,2029
Alto,Consumo moderado,Rápido,Húmedo,Frío,2074
Alto,Alto consumo,Moderado,Moderado,Templado,2028
Bajo,Alto consumo,Lento,Húmedo,Templado,2075
Bajo,Consumo moderado,Lento,Seco,Frío,2076
Alto,Alto consumo,Lento,Húmedo,Cálido,2063
Medio,Bajo consumo,Lento,Moderado,Templado,2032
Medio,Bajo consumo,Moderado,Seco,Templado,2069
Medio,Consumo moderado,Moderado,Húmedo,Templado,2052
Bajo,Consumo moderado,Moderado,Seco,Frío,2051
Medio,Consumo moderado,Moderado,Seco,Frío,2089
Medio,Alto consumo,Lento,Seco,Templado,2058
Alto,Alto consumo,Rápido,Húmedo,Frío,2086
Medio,Bajo consumo,Moderado,Moderado,Frío,2086
Alto,Alto consumo,Moderado,Húmedo,Templado,2062
Medio,Bajo consumo,Lento,Moderado,Frío,2050
Bajo,Alto consumo,Lento,Húmedo,Cálido,2048
Medio,Bajo consumo,Lento,Húmedo,Frío,2063
Medio,Consumo moderado,Lento,Húmedo,Frío,2045
Alto,Alto consumo,Rápido,Moderado,Templado,2071
Alto,Bajo consumo,Rápido,Húmedo,Templado,2072
Alto,Alto consumo,Moderado,Seco,Cálido,2037
Medio,Consumo moderado,Rápido,Húmedo,Frío,2027
Medio,Bajo consumo,Moderado,Seco,Cálido,2056
Bajo,Alto consumo,Moderado,Moderado,Cálido,2059
Medio,Alto consumo,Rápido,Moderado,Templado,2043
Bajo,Consumo moderado,Moderado,Húmedo,Frío,2038
Alto,Consumo moderado,Lento,Húmedo,Templado,2072
Alto,Bajo consumo,Moderado,Húmedo,Cálido,2092
Alto,Alto consumo,Lento,Seco,Cálido,2069
Bajo,Alto consumo,Rápido,Moderado,Templado,2043
Medio,Consumo moderado,Rápido,Seco,Templado,2088
Alto,Consumo moderado,Moderado,Seco,Templado,2090
Medio,Bajo consumo,Lento,Húmedo,Templado,2090
Medio,Alto consumo,Moderado,Húmedo,Templado,2099
Alto,Alto consumo,Rápido,Seco,Cálido,2069
Bajo,Bajo consumo,Moderado,Seco,Templado,2098
Medio,Bajo consumo,Moderado,Húmedo,Frío,2091
Alto,Consumo moderado,Lento,Húmedo,Cálido,2093
Medio,Consumo moderado,Rápido,Seco,Cálido,2027
Medio,Bajo consumo,Moderado,Húmedo,Frío,2062
Medio,Bajo consumo,Lento,Húmedo,Frío,2066
Medio,Alto consumo,Moderado,Seco,Cálido,2064
Medio,Bajo consumo,Lento,Seco,Templado,2074
Bajo,Bajo consumo,Lento,Moderado,Cálido,2059
Bajo,Alto consumo,Moderado,Seco,Cálido,2048
Alto,Bajo consumo,Rápido,Húmedo,Frío,2041
Bajo,Consumo moderado,Rápido,Seco,Cálido,2064
Bajo,Consumo moderado,Lento,Seco,Templado,2098
Bajo,Alto consumo,Rápido,Seco,Frío,2090
Medio,Bajo consumo,Lento,Moderado,Cálido,2068
Medio,Consumo moderado,Rápido,Moderado,Cálido,2047
Alto,Consumo moderado,Moderado,Húmedo,Templado,2030
Alto,Consumo moderado,Rápido,Moderado,Cálido,2090
Alto,Consumo moderado,Lento,Seco,Cálido,2045
Medio,Bajo consumo,Lento,Moderado,Cálido,2059
Bajo,Bajo consumo,Rápido,Seco,Cálido,2053
Bajo,Bajo consumo,Moderado,Moderado,Templado,2031
Medio,Bajo consumo,Lento,Moderado,Cálido,2077
Alto,Consumo moderado,Lento,Moderado,Cálido,2061
Alto,Alto consumo,Lento,Seco,Cálido,2047
Alto,Alto consumo,Lento,Moderado,Frío,2032
Medio,Consumo moderado,Lento,Seco,Templado,2072
Alto,Consumo moderado,Moderado,Seco,Frío,2034
Alto,Alto consumo,Rápido,Húmedo,Frío,2048
Medio,Alto consumo,Moderado,Moderado,Templado,2071
Bajo,Consumo moderado,Moderado,Húmedo,Frío,2077
Medio,Consumo moderado,Lento,Húmedo,Frío,2063
Medio,Bajo consumo,Moderado,Seco,Frío,2091
Medio,Bajo consumo,Lento,Moderado,Templado,2090
Medio,Alto consumo,Moderado,Seco,Cálido,2030
Bajo,Consumo moderado,Lento,Seco,Templado,2045
Alto,Alto consumo,Lento,Moderado,Templado,2097
Medio,Bajo consumo,Moderado,Seco,Templado,2098
Bajo,Bajo consumo,Moderado,Moderado,Frío,2060
Alto,Alto consumo,Rápido,Moderado,Cálido,2027
Alto,Bajo consumo,Rápido,Seco,Templado,2066
Alto,Consumo moderado,Rápido,Seco,Templado,2069
Medio,Alto consumo,Moderado,Húmedo,Cálido,2068
Medio,Consumo moderado,Moderado,Seco,Cálido,2057
Alto,Consumo moderado,Lento,Moderado,Cálido,2084
Alto,Bajo consumo,Rápido,Húmedo,Frío,2094
Alto,Consumo moderado,Lento,Moderado,Cálido,2050
Alto,Alto consumo,Lento,Húmedo,Frío,2045
Alto,Consumo moderado,Lento,Seco,Templado,2026
Alto,Consumo moderado,Lento,Seco,Frío,2071
Bajo,Consumo moderado,Rápido,Seco,Cálido,2054
Alto,Consumo moderado,Lento,Moderado,Frío,2051
Medio,Consumo moderado,Moderado,Húmedo,Cálido,2095
Medio,Bajo consumo,Moderado,Moderado,Frío,2044
Medio,Alto consumo,Moderado,Húmedo,Templado,2074
Alto,Bajo consumo,Rápido,Seco,Frío,2047
Medio,Alto consumo,Lento,Moderado,Templado,2037
Bajo,Alto consumo,Rápido,Seco,Cálido,2028
Alto,Alto consumo,Lento,Moderado,Templado,2038
Medio,Alto consumo,Rápido,Seco,Cálido,2044
Bajo,Alto consumo,Rápido,Moderado,Cálido,2037
Bajo,Consumo moderado,Lento,Moderado,Templado,2027
Medio,Bajo consumo,Rápido,Húmedo,Templado,2071
Bajo,Bajo consumo,Lento,Seco,Frío,2027
Medio,Consumo moderado,Moderado,Húmedo,Frío,2025
Bajo,Alto consumo,Moderado,Húmedo,Templado,2048
Alto,Bajo consumo,Moderado,Seco,Templado,2059
Alto,Consumo moderado,Rápido,Moderado,Templado,2038
Alto,Consumo moderado,Moderado,Húmedo,Templado,2091
Alto,Bajo consumo,Lento,Seco,Cálido,2037
Alto,Bajo consumo,Moderado,Moderado,Templado,2071
Medio,Alto consumo,Moderado,Húmedo,Templado,2074
Alto,Alto consumo,Rápido,Húmedo,Templado,2050
Alto,Bajo consumo,Lento,Húmedo,Templado,2027
Alto,Alto consumo,Rápido,Moderado,Cálido,2075
Alto,Consumo moderado,Rápido,Húmedo,Frío,2064
Bajo,Alto consumo,Lento,Moderado,Frío,2092
Alto,Alto consumo,Rápido,Húmedo,Frío,2060
Alto,Consumo moderado,Lento,Seco,Frío,2075
Medio,Alto consumo,Moderado,Húmedo,Frío,2025
Bajo,Consumo moderado,Lento,Seco,Cálido,2057
Medio,Alto consumo,Lento,Seco,Frío,2031
Alto,Bajo consumo,Lento,Seco,Cálido,2076
Medio,Alto consumo,Rápido,Moderado,Cálido,2035
Medio,Bajo consumo,Lento,Seco,Frío,2051
Alto,Bajo consumo,Lento,Húmedo,Frío,2038
Bajo,Bajo consumo,Lento,Moderado,Frío,2070
Bajo,Bajo consumo,Moderado,Seco,Templado,2034
Medio,Bajo consumo,Lento,Moderado,Cálido,2048
Alto,Consumo moderado,Rápido,Moderado,Frío,2085
Medio,Consumo moderado,Lento,Moderado,Templado,2042
Medio,Consumo moderado,Lento,Húmedo,Cálido,2033
Medio,Bajo consumo,Moderado,Seco,Templado,2041
Alto,Alto consumo,Lento,Moderado,Templado,2082
Alto,Consumo moderado,Rápido,Moderado,Frío,2037
Bajo,Alto consumo,Lento,Moderado,Cálido,2074
Alto,Alto consumo,Rápido,Seco,Templado,2030
Medio,Bajo consumo,Moderado,Moderado,Cálido,2075
Medio,Bajo consumo,Lento,Moderado,Frío,2060
Bajo,Bajo consumo,Moderado,Húmedo,Cálido,2095
Alto,Consumo moderado,Lento,Seco,Templado,2049
Medio,Bajo consumo,Rápido,Húmedo,Templado,2035
Bajo,Consumo moderado,Moderado,Seco,Cálido,2068
Bajo,Consumo moderado,Lento,Seco,Templado,2038
Medio,Consumo moderado,Rápido,Seco,Templado,2053
Medio,Consumo moderado,Moderado,Húmedo,Templado,2098
Alto,Bajo consumo,Lento,Húmedo,Frío,2074
Bajo,Consumo moderado,Moderado,Húmedo,Frío,2029
Medio,Bajo consumo,Lento,Húmedo,Templado,2096
Bajo,Bajo consumo,Rápido,Moderado,Cálido,2093
Alto,Consumo moderado,Rápido,Moderado,Frío,2081
Medio,Bajo consumo,Moderado,Moderado,Cálido,2050
Alto,Alto consumo,Moderado,Seco,Templado,2030
Bajo,Bajo consumo,Lento,Moderado,Templado,2040
Alto,Bajo consumo,Rápido,Seco,Cálido,2084
Alto,Consumo moderado,Lento,Húmedo,Frío,2036
Bajo,Consumo moderado,Rápido,Seco,Cálido,2099
Alto,Bajo consumo,Moderado,Seco,Cálido,2027
Bajo,Consumo moderado,Lento,Moderado,Templado,2087
Medio,Alto consumo,Lento,Húmedo,Frío,2088
Bajo,Alto consumo,Rápido,Húmedo,Cálido,2086
Bajo,Consumo moderado,Rápido,Moderado,Frío,2030
Medio,Bajo consumo,Rápido,Húmedo,Templado,2043
Bajo,Alto consumo,Moderado,Húmedo,Frío,2042
Medio,Alto consumo,Lento,Húmedo,Templado,2067
Medio,Bajo consumo,Rápido,Moderado,Frío,2097
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2027
Alto,Alto consumo,Rápido,Seco,Templado,2096
Alto,Bajo consumo,Lento,Seco,Cálido,2062
Medio,Bajo consumo,Rápido,Húmedo,Templado,2092
Alto,Alto consumo,Lento,Moderado,Frío,2068
Alto,Consumo moderado,Moderado,Moderado,Frío,2087
Bajo,Alto consumo,Moderado,Moderado,Templado,2066
Medio,Bajo consumo,Rápido,Húmedo,Templado,2088
Medio,Alto consumo,Lento,Húmedo,Templado,2078
Bajo,Consumo moderado,Lento,Seco,Frío,2095
Alto,Bajo consumo,Lento,Moderado,Templado,2061
Medio,Consumo moderado,Rápido,Seco,Templado,2028
Alto,Alto consumo,Lento,Seco,Cálido,2026
Medio,Alto consumo,Lento,Moderado,Templado,2068
Medio,Consumo moderado,Lento,Húmedo,Cálido,2091
Medio,Alto consumo,Lento,Húmedo,Cálido,2092
Medio,Consumo moderado,Rápido,Seco,Cálido,2098
Alto,Alto consumo,Rápido,Seco,Frío,2086
Alto,Consumo moderado,Lento,Seco,Cálido,2025
Alto,Consumo moderado,Lento,Seco,Templado,2041
Alto,Bajo consumo,Moderado,Moderado,Frío,2040
Bajo,Bajo consumo,Moderado,Seco,Frío,2033
Medio,Consumo moderado,Lento,Seco,Frío,2077
Medio,Alto consumo,Lento,Húmedo,Frío,2097
Medio,Alto consumo,Moderado,Húmedo,Frío,2083
Bajo,Alto consumo,Moderado,Húmedo,Frío,2033
Alto,Consumo moderado,Lento,Moderado,Frío,2036
Medio,Consumo moderado,Rápido,Moderado,Cálido,2065
Alto,Consumo moderado,Rápido,Húmedo,Templado,2039
Alto,Consumo moderado,Lento,Húmedo,Templado,2090
Bajo,Bajo consumo,Lento,Seco,Cálido,2099
Bajo,Consumo moderado,Moderado,Seco,Cálido,2035
Alto,Alto consumo,Moderado,Moderado,Frío,2032
Medio,Bajo consumo,Rápido,Moderado,Frío,2079
Medio,Alto consumo,Lento,Seco,Cálido,2030
Bajo,Consumo moderado,Moderado,Húmedo,Frío,2077
Bajo,Bajo consumo,Rápido,Seco,Templado,2044
Bajo,Consumo moderado,Rápido,Moderado,Templado,2063
Bajo,Bajo consumo,Rápido,Moderado,Frío,2096
Bajo,Alto consumo,Moderado,Seco,Frío,2058
Bajo,Consumo moderado,Moderado,Seco,Frío,2081
Bajo,Consumo moderado,Lento,Seco,Templado,2043
Medio,Bajo consumo,Lento,Moderado,Frío,2095
Bajo,Bajo consumo,Rápido,Húmedo,Cálido,2055
Bajo,Consumo moderado,Rápido,Seco,Frío,2064
Medio,Bajo consumo,Moderado,Moderado,Cálido,2038
Medio,Consumo moderado,Moderado,Moderado,Frío,2061
Alto,Bajo consumo,Lento,Moderado,Frío,2068
Bajo,Alto consumo,Lento,Seco,Templado,2033
Bajo,Bajo consumo,Lento,Seco,Cálido,2082
Bajo,Alto consumo,Moderado,Húmedo,Cálido,2044
Bajo,Bajo consumo,Rápido,Moderado,Cálido,2074
Alto,Bajo consumo,Lento,Seco,Templado,2044
Medio,Consumo moderado,Lento,Moderado,Cálido,2060
Medio,Bajo consumo,Moderado,Moderado,Templado,2051
Bajo,Bajo consumo,Lento,Húmedo,Frío,2096
Bajo,Alto consumo,Rápido,Seco,Frío,2056
Bajo,Bajo consumo,Moderado,Seco,Cálido,2025
Alto,Consumo moderado,Lento,Moderado,Frío,2041
Alto,Alto consumo,Lento,Moderado,Frío,2033
Medio,Consumo moderado,Moderado,Húmedo,Cálido,2069
Bajo,Consumo moderado,Moderado,Húmedo,Frío,2090
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2056
Bajo,Consumo moderado,Rápido,Húmedo,Cálido,2069
Bajo,Alto consumo,Moderado,Húmedo,Frío,2033
Alto,Bajo consumo,Rápido,Húmedo,Frío,2054
Medio,Consumo moderado,Lento,Moderado,Frío,2062
Medio,Alto consumo,Rápido,Húmedo,Frío,2084
Alto,Consumo moderado,Lento,Moderado,Frío,2025
Bajo,Bajo consumo,Lento,Moderado,Templado,2029
Medio,Alto consumo,Lento,Seco,Frío,2087
Medio,Alto consumo,Lento,Moderado,Templado,2060
Alto,Bajo consumo,Rápido,Moderado,Cálido,2089
Bajo,Alto consumo,Lento,Húmedo,Frío,2097
Medio,Bajo consumo,Lento,Moderado,Frío,2048
Bajo,Alto consumo,Rápido,Húmedo,Frío,2028
Medio,Alto consumo,Moderado,Húmedo,Cálido,2092
Alto,Bajo consumo,Rápido,Húmedo,Templado,2049
Bajo,Bajo consumo,Rápido,Seco,Templado,2098
Alto,Alto consumo,Rápido,Húmedo,Frío,2031
Medio,Alto consumo,Lento,Moderado,Frío,2037
Alto,Bajo consumo,Lento,Húmedo,Frío,2092
Alto,Bajo consumo,Lento,Húmedo,Frío,2067
Alto,Alto consumo,Moderado,Húmedo,Cálido,2081
Medio,Alto consumo,Lento,Seco,Frío,2060
Bajo,Alto consumo,Moderado,Moderado,Cálido,2038
Alto,Bajo consumo,Lento,Seco,Frío,2096
Bajo,Alto consumo,Rápido,Moderado,Templado,2051
Medio,Consumo moderado,Lento,Seco,Templado,2061
Bajo,Bajo consumo,Moderado,Moderado,Frío,2095
Alto,Alto consumo,Moderado,Seco,Frío,2049
Alto,Bajo consumo,Lento,Húmedo,Cálido,2091
Alto,Consumo moderado,Rápido,Seco,Frío,2028
Alto,Bajo consumo,Lento,Seco,Frío,2098
Alto,Alto consumo,Lento,Húmedo,Frío,2040
Alto,Consumo moderado,Lento,Húmedo,Templado,2043
Medio,Consumo moderado,Rápido,Moderado,Cálido,2053
Medio,Alto consumo,Moderado,Moderado,Templado,2075
Medio,Alto consumo,Rápido,Moderado,Cálido,2042
Bajo,Alto consumo,Moderado,Seco,Templado,2082
Bajo,Bajo consumo,Moderado,Moderado,Frío,2068
Medio,Bajo consumo,Moderado,Seco,Templado,2040
Bajo,Bajo consumo,Rápido,Seco,Templado,2089
Bajo,Alto consumo,Lento,Moderado,Cálido,2026
Alto,Alto consumo,Lento,Moderado,Cálido,2080
Alto,Bajo consumo,Lento,Seco,Templado,2052
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2089
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2029
Medio,Consumo moderado,Rápido,Seco,Cálido,2046
Bajo,Alto consumo,Rápido,Moderado,Cálido,2037
Alto,Alto consumo,Rápido,Seco,Cálido,2089
Bajo,Bajo consumo,Rápido,Seco,Templado,2040
Medio,Bajo consumo,Rápido,Moderado,Cálido,2088
Alto,Alto consumo,Rápido,Húmedo,Frío,2056
Alto,Bajo consumo,Rápido,Seco,Templado,2075
Alto,Alto consumo,Lento,Húmedo,Templado,2082
Alto,Alto consumo,Moderado,Húmedo,Templado,2070
Bajo,Consumo moderado,Rápido,Moderado,Cálido,2076
Medio,Bajo consumo,Moderado,Seco,Frío,2087
Bajo,Alto consumo,Rápido,Seco,Cálido,2084
Bajo,Bajo consumo,Rápido,Húmedo,Templado,2089
Alto,Consumo moderado,Lento,Húmedo,Templado,2079
Medio,Consumo moderado,Moderado,Moderado,Templado,2081
Alto,Bajo consumo,Lento,Húmedo,Templado,2095
Bajo,Bajo consumo,Lento,Moderado,Cálido,2097
Bajo,Alto consumo,Moderado,Seco,Frío,2050
Alto,Consumo moderado,Lento,Moderado,Frío,2036
Bajo,Consumo moderado,Rápido,Húmedo,Templado,2095
Bajo,Consumo moderado,Rápido,Seco,Frío,2070
Alto,Bajo consumo,Rápido,Moderado,Templado,2071
Bajo,Alto consumo,Rápido,Seco,Templado,2062
Medio,Bajo consumo,Rápido,Moderado,Frío,2045
Alto,Bajo consumo,Lento,Húmedo,Templado,2038
Medio,Bajo consumo,Lento,Húmedo,Frío,2026
Bajo,Alto consumo,Rápido,Seco,Templado,2096
Bajo,Bajo consumo,Rápido,Seco,Frío,2094
Alto,Consumo moderado,Lento,Seco,Templado,2057
Bajo,Consumo moderado,Moderado,Moderado,Frío,2030
Alto,Consumo moderado,Lento,Húmedo,Templado,2061
Alto,Alto consumo,Lento,Seco,Templado,2038
Alto,Bajo consumo,Lento,Seco,Templado,2061
Alto,Alto consumo,Lento,Seco,Frío,2032
Alto,Bajo consumo,Lento,Moderado,Cálido,2037
Medio,Consumo moderado,Moderado,Seco,Templado,2064
Alto,Bajo consumo,Rápido,Seco,Templado,2082
Medio,Bajo consumo,Rápido,Moderado,Frío,2042
Bajo,Bajo consumo,Moderado,Moderado,Templado,2081
Alto,Alto consumo,Rápido,Seco,Templado,2062
Bajo,Bajo consumo,Rápido,Seco,Templado,2056
Alto,Bajo consumo,Rápido,Moderado,Templado,2090
Medio,Bajo consumo,Moderado,Húmedo,Cálido,2049
Medio,Alto consumo,Moderado,Moderado,Cálido,2082
Medio,Alto consumo,Rápido,Húmedo,Templado,2099
Bajo,Alto consumo,Rápido,Seco,Templado,2057
Alto,Bajo consumo,Rápido,Seco,Templado,2090
Bajo,Consumo moderado,Lento,Húmedo,Cálido,2054
Medio,Consumo moderado,Lento,Moderado,Cálido,2058
Bajo,Consumo moderado,Lento,Seco,Frío,2093
Medio,Bajo consumo,Moderado,Húmedo,Frío,2072
Medio,Consumo moderado,Rápido,Moderado,Templado,2064
Medio,Consumo moderado,Moderado,Húmedo,Templado,2075
Alto,Consumo moderado,Moderado,Moderado,Cálido,2037
Alto,Bajo consumo,Moderado,Moderado,Templado,2055
Medio,Consumo moderado,Rápido,Moderado,Templado,2063
Bajo,Consumo moderado,Lento,Moderado,Cálido,2087
Bajo,Bajo consumo,Rápido,Húmedo,Cálido,2072
Alto,Alto consumo,Rápido,Húmedo,Cálido,2072
Medio,Consumo moderado,Moderado,Húmedo,Cálido,2085
Bajo,Alto consumo,Moderado,Húmedo,Frío,2036
Medio,Consumo moderado,Moderado,Húmedo,Cálido,2080
Bajo,Bajo consumo,Lento,Moderado,Cálido,2042
Alto,Alto consumo,Lento,Seco,Templado,2051
Medio,Alto consumo,Lento,Seco,Templado,2052
Medio,Alto consumo,Rápido,Húmedo,Templado,2076
Bajo,Alto consumo,Moderado,Húmedo,Frío,2040
Bajo,Consumo moderado,Rápido,Seco,Cálido,2082
Bajo,Consumo moderado,Lento,Moderado,Cálido,2033
Medio,Alto consumo,Moderado,Húmedo,Frío,2050
Alto,Consumo moderado,Lento,Moderado,Cálido,2052
Alto,Alto consumo,Moderado,Seco,Templado,2060
Bajo,Alto consumo,Moderado,Seco,Frío,2033
Alto,Bajo consumo,Rápido,Húmedo,Cálido,2071
Bajo,Alto consumo,Rápido,Moderado,Frío,2075
Alto,Consumo moderado,Lento,Húmedo,Frío,2081
Medio,Alto consumo,Rápido,Seco,Cálido,2056
Bajo,Bajo consumo,Rápido,Moderado,Templado,2091
Alto,Consumo moderado,Rápido,Húmedo,Cálido,2081
Medio,Bajo consumo,Moderado,Húmedo,Cálido,2078
Alto,Bajo consumo,Rápido,Húmedo,Templado,2040
Medio,Alto consumo,Lento,Seco,Cálido,2086
Medio,Bajo consumo,Moderado,Húmedo,Cálido,2080
Alto,Bajo consumo,Moderado,Moderado,Cálido,2047
Alto,Consumo moderado,Rápido,Húmedo,Frío,2041
Medio,Bajo consumo,Moderado,Seco,Frío,2062
Medio,Alto consumo,Lento,Húmedo,Frío,2096
Medio,Alto consumo,Lento,Seco,Cálido,2054
Bajo,Alto consumo,Moderado,Seco,Templado,2082
Medio,Bajo consumo,Rápido,Moderado,Frío,2046
Bajo,Consumo moderado,Rápido,Moderado,Templado,2041
Medio,Alto consumo,Moderado,Húmedo,Cálido,2039
Bajo,Bajo consumo,Lento,Seco,Frío,2072
Medio,Alto consumo,Moderado,Seco,Cálido,2056
Medio,Alto consumo,Rápido,Moderado,Templado,2064
Medio,Consumo moderado,Rápido,Moderado,Frío,2081
Alto,Alto consumo,Moderado,Húmedo,Frío,2082
Alto,Consumo moderado,Lento,Seco,Frío,2040
Medio,Bajo consumo,Moderado,Moderado,Frío,2052
Bajo,Alto consumo,Lento,Húmedo,Templado,2025
Bajo,Bajo consumo,Lento,Seco,Frío,2065
Medio,Bajo consumo,Moderado,Seco,Cálido,2072
Alto,Bajo consumo,Moderado,Moderado,Frío,2055
Bajo,Alto consumo,Lento,Húmedo,Templado,2060
Alto,Consumo moderado,Lento,Moderado,Frío,2057
Bajo,Alto consumo,Lento,Húmedo,Templado,2057
Medio,Bajo consumo,Lento,Seco,Templado,2047
Alto,Consumo moderado,Rápido,Húmedo,Cálido,2084
Bajo,Bajo consumo,Moderado,Húmedo,Frío,2054
Medio,Consumo moderado,Lento,Húmedo,Frío,2069
Medio,Alto consumo,Moderado,Húmedo,Frío,2063
Medio,Consumo moderado,Lento,Húmedo,Cálido,2069
Alto,Alto consumo,Moderado,Moderado,Cálido,2036
Alto,Bajo consumo,Moderado,Húmedo,Templado,2056
Medio,Consumo moderado,Lento,Húmedo,Templado,2080
Alto,Bajo consumo,Lento,Seco,Templado,2048
Bajo,Consumo moderado,Moderado,Húmedo,Cálido,2037
Medio,Alto consumo,Moderado,Seco,Cálido,2044
Medio,Consumo moderado,Moderado,Moderado,Cálido,2080
Alto,Consumo moderado,Rápido,Moderado,Templado,2077
Medio,Alto consumo,Lento,Húmedo,Cálido,2092
Bajo,Alto consumo,Rápido,Moderado,Templado,2078
Alto,Alto consumo,Rápido,Húmedo,Templado,2058
Alto,Consumo moderado,Lento,Moderado,Frío,2052
Medio,Bajo consumo,Lento,Húmedo,Frío,2074
Medio,Consumo moderado,Rápido,Húmedo,Frío,2026
Medio,Consumo moderado,Lento,Seco,Templado,2050
Alto,Bajo consumo,Moderado,Seco,Frío,2075
Medio,Alto consumo,Moderado,Seco,Frío,2071
Bajo,Consumo moderado,Rápido,Seco,Frío,2050
Medio,Bajo consumo,Rápido,Húmedo,Cálido,2099
Medio,Alto consumo,Lento,Moderado,Templado,2098
Alto,Alto consumo,Lento,Húmedo,Frío,2085
Medio,Consumo moderado,Rápido,Seco,Cálido,2047
Alto,Alto consumo,Rápido,Seco,Cálido,2061
Medio,Alto consumo,Moderado,Moderado,Cálido,2065
Bajo,Bajo consumo,Moderado,Seco,Frío,2076
Bajo,Bajo consumo,Lento,Húmedo,Cálido,2073
Alto,Alto consumo,Moderado,Húmedo,Templado,2051
Alto,Bajo consumo,Lento,Húmedo,Cálido,2030
Medio,Alto consumo,Lento,Húmedo,Cálido,2098
Medio,Consumo moderado,Lento,Húmedo,Cálido,2090
Bajo,Bajo consumo,Moderado,Moderado,Cálido,2048
Medio,Alto consumo,Rápido,Húmedo,Templado,2062
Bajo,Alto consumo,Rápido,Seco,Frío,2052
Alto,Bajo consumo,Moderado,Seco,Templado,2052
Medio,Bajo consumo,Rápido,Seco,Templado,2090
Alto,Consumo moderado,Lento,Seco,Frío,2085
Medio,Alto consumo,Rápido,Moderado,Cálido,2070
Bajo,Consumo moderado,Moderado,Seco,Frío,2093
Alto,Consumo moderado,Rápido,Moderado,Frío,2099
Alto,Consumo moderado,Lento,Seco,Templado,2098
Medio,Bajo consumo,Lento,Moderado,Frío,2067
Alto,Consumo moderado,Moderado,Moderado,Cálido,2083
Bajo,Bajo consumo,Moderado,Moderado,Templado,2026
Alto,Bajo consumo,Moderado,Seco,Cálido,2039
Alto,Consumo moderado,Lento,Moderado,Templado,2061
Medio,Consumo moderado,Rápido,Húmedo,Cálido,2095
Alto,Alto consumo,Rápido,Húmedo,Frío,2044
Medio,Consumo moderado,Moderado,Seco,Frío,2059
Medio,Alto consumo,Rápido,Húmedo,Frío,2058
Alto,Consumo moderado,Rápido,Húmedo,Cálido,2055
Bajo,Consumo moderado,Moderado,Húmedo,Templado,2043
Medio,Consumo moderado,Moderado,Seco,Templado,2092
Alto,Consumo moderado,Lento,Seco,Templado,2048
Medio,Alto consumo,Lento,Húmedo,Frío,2063
Bajo,Alto consumo,Lento,Seco,Cálido,2078
Bajo,Consumo moderado,Lento,Moderado,Templado,2063
Medio,Consumo moderado,Rápido,Húmedo,Cálido,2041
Bajo,Alto consumo,Rápido,Seco,Templado,2043
Alto,Bajo consumo,Lento,Seco,Frío,2072
Alto,Bajo consumo,Lento,Húmedo,Cálido,2059
Medio,Bajo consumo,Moderado,Seco,Templado,2056
Bajo,Alto consumo,Rápido,Húmedo,Templado,2071
Alto,Alto consumo,Rápido,Seco,Templado,2071
Alto,Bajo consumo,Lento,Moderado,Templado,2088
Alto,Bajo consumo,Rápido,Húmedo,Frío,2070
Medio,Consumo moderado,Moderado,Moderado,Templado,2059
Medio,Alto consumo,Moderado,Húmedo,Templado,2041
Alto,Alto consumo,Rápido,Seco,Frío,2066
Alto,Bajo consumo,Lento,Moderado,Templado,2053
Bajo,Bajo consumo,Rápido,Seco,Cálido,2094
Bajo,Alto consumo,Moderado,Húmedo,Cálido,2041
Bajo,Consumo moderado,Lento,Húmedo,Templado,2038
Medio,Bajo consumo,Rápido,Húmedo,Frío,2048
Alto,Alto consumo,Lento,Húmedo,Frío,2081
Medio,Alto consumo,Lento,Húmedo,Frío,2074
Alto,Consumo moderado,Moderado,Moderado,Templado,2081
